service_level,fill_rate,stockout_rate,holding_cost,shortage_cost,total_cost,units_ordered,units_lost,units_demanded
0.5,0.47617683737558963,0.37766597947804903,19816.36760072358,661700.7946067355,681517.1622074591,594372.4050423077,645226.5140868942,1231764.0
0.6,0.5928976963336839,0.33091411704071594,41050.07455949006,515445.5422211973,556495.6167806874,744977.9072417847,501453.96197323623,1231764.0
0.7,0.6912309074939578,0.2912711427634353,64290.08542514429,388279.20219444245,452569.28761958674,873902.6138457826,380330.6524616124,1231764.0
0.75,0.7328981681177106,0.2382373611957082,76801.61564026836,333251.3117425825,410052.92738285084,929537.9221676007,329006.4208466563,1231764.0
0.8,0.7885170403004084,0.1960841962235862,102375.18629426237,261530.1515137846,363905.33780804696,1006463.7322235027,260497.09637140753,1231764.0
0.85,0.8505090962301569,0.12715527339174437,141324.55536096374,183255.1429005084,324579.69826147216,1095965.498123155,184137.51359115707,1231764.0
0.9,0.916590054288913,0.07489106498617813,212143.02151380817,102433.2951130394,314576.3166268476,1201843.5011263245,102741.36836887116,1231764.0
0.925,0.9369419216204125,0.05345312280372956,249217.5291365866,77188.90701204013,326406.43614862673,1239907.359817395,77672.67085715463,1231764.0
0.95,0.9514566179089151,0.03749004357400553,287131.42667644756,59498.52370216362,346629.95037861116,1271137.3073037807,59793.99049804307,1231764.0
0.965,0.9581119159201333,0.030382326758187698,310191.89362532465,51579.36445943242,361771.2580847571,1287463.0162615408,51596.23399855303,1231764.0
0.975,0.9618970322393653,0.02673593215574193,325668.2030991713,47135.843251856815,372804.0463510281,1297582.4345918894,46933.86398071051,1231764.0
0.985,0.9788479734134483,0.011832919458370426,430137.70410265756,27027.1489466553,457164.85304931283,1352389.451561451,26054.304876357317,1231764.0
0.995,0.9868590283859794,0.005929344515766293,537298.0886337945,17679.81170902562,554977.9003428201,1397302.456067562,16186.57575917244,1231764.0
