service_level,fill_rate,stockout_rate,holding_cost,shortage_cost,total_cost,units_ordered,units_lost,units_demanded
0.5,0.6113080113965517,0.2690858829592841,91871.39996718579,474755.6828614561,566627.0828286419,790382.6929644669,478776.79865013796,1231764.0
0.6,0.6759286950664902,0.22627442252729232,126290.17034674979,393619.7734422016,519909.9437889514,882782.4109452293,399179.36685011955,1231764.0
0.7,0.7362219467419518,0.18079463992878228,169145.08571226883,319269.50680724886,488414.5925195177,973623.7648247811,324912.30999334645,1231764.0
0.75,0.7643246933185069,0.15962727826453638,194748.2679729682,284835.8939084332,479584.16188140144,1018173.7831126638,290296.3584592226,1231764.0
0.8,0.7914488894172217,0.13842477627325117,225020.47444133612,251513.80559636344,476534.28003769956,1063399.8986466813,256885.7501758854,1231764.0
0.85,0.8186217904962322,0.11637070702338004,263696.04138217383,218269.57963845367,481965.6210206275,1112131.3389387678,223415.14885119908,1231764.0
0.9,0.8468682871690474,0.09246005716159865,318814.7824353185,184184.10474269092,502998.88717800943,1168247.0581697635,188622.13112350553,1231764.0
0.925,0.8616449050657845,0.08065407862062503,357153.15369736706,166398.1381321627,523551.2918295298,1200825.4829050694,170420.825156549,1231764.0
0.95,0.8768753324879063,0.06843930094176076,408180.3017015522,148182.0649115275,556362.3666130797,1238400.4625209533,151660.53295336664,1231764.0
0.965,0.8865482644798132,0.060922784988052286,450683.2030363523,136729.16856236767,587412.37159872,1265599.2545343935,139745.76355128735,1231764.0
0.975,0.8934306679647392,0.055597854097362134,489274.8549939696,128580.12859712448,617854.9835910941,1288248.6066299304,131268.26670508087,1231764.0
0.985,0.901102090501056,0.0497130206625123,545019.7951830217,119739.05272231824,664758.8479053399,1318384.912260376,121818.88459605724,1231764.0
0.995,0.9104492579495683,0.04317926252166987,645404.2447279955,109096.24427025446,754500.48899825,1366582.5032166392,110305.38023100793,1231764.0
